GHCN_DIN,DATE,PRCP (10^-1 mm),SNOW (mm),TMAX (°C),TMIN (°C),ELEVATION (m),NAME,COORD (LAT),COORD (LONG),COUNTRY_CODE
AR000875850,06/07/2015,,,,7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/07/2015,,,17.9,5.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/07/2015,,,17.7,6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/07/2015,,,17.4,7.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/07/2015,,,17.6,11.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/07/2015,,,17.3,11.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/07/2015,,,,12.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/07/2015,79,,17.4,9.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/07/2015,0,,,5.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/07/2015,,,16,1.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/07/2015,,,16.1,3.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/07/2015,,,,4.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/07/2015,,,16.8,6.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/07/2015,,,16.5,10.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/07/2015,,,16.9,7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/07/2015,,,13.6,2.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/07/2015,,,,4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/07/2015,,,17.5,5.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/07/2015,,,,5.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/07/2015,,,18.5,6.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/07/2015,,,,11.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/07/2015,,,,12.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/07/2015,,,,13,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/07/2015,,,27.2,13.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/07/2015,,,17.8,13.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,31/07/2015,490,,19.1,15.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/08/2015,119,,17.8,7.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/08/2015,30,,,11.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/08/2015,0,,,10.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/08/2015,,,20.9,8.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/08/2015,,,,12.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/08/2015,851,,,14.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/08/2015,409,,20.5,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/08/2015,71,,18.6,12.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/08/2015,30,,20.1,13.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/08/2015,851,,19.4,11,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/08/2015,30,,,10,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/08/2015,0,,15.8,10.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/08/2015,130,,,10.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/08/2015,99,,14.9,10,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/08/2015,5,,,7.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/08/2015,0,,17.9,7.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/08/2015,,,16.8,10.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/08/2015,,,,10.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/08/2015,,,22.6,9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/08/2015,,,,8.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/08/2015,,,,10.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/08/2015,,,,14,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/08/2015,,,20.6,9.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/08/2015,,,14.1,6.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/08/2015,,,,9.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/08/2015,30,,,12,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/08/2015,3,,22.8,11,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/08/2015,0,,,11.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/08/2015,,,,15.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/08/2015,,,26.2,13.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,31/08/2015,,,24.6,16,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/09/2015,,,25.1,6.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/09/2015,,,,8.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/09/2015,,,,9.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/09/2015,,,,7.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/09/2015,,,21.4,8.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/09/2015,,,22.7,11.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/09/2015,,,22.1,12,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/09/2015,0,,,11.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/09/2015,,,23.3,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/09/2015,170,,,5.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/09/2015,0,,16.3,3.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/09/2015,,,,3.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/09/2015,,,,9.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/09/2015,,,,9.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/09/2015,,,,16.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/09/2015,,,28,6.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/09/2015,,,,10.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/09/2015,,,18.4,8.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/09/2015,,,,11.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/09/2015,,,21.6,11.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/09/2015,0,,19.4,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/09/2015,51,,15.9,11.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/09/2015,20,,14.4,11.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/09/2015,79,,,12.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/09/2015,8,,16.4,11.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/09/2015,3,,18.9,10.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/09/2015,0,,,8.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/09/2015,,,24.6,14,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/09/2015,8,,,9.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/09/2015,0,,21.4,7.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/10/2015,,,,13.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/10/2015,330,,20.8,10.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/10/2015,0,,,3.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/10/2015,,,,7.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/10/2015,,,,10.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/10/2015,,,20.4,14.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/10/2015,,,19.8,12.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/10/2015,,,,11.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/10/2015,,,22.5,9.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/10/2015,,,16.5,8.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/10/2015,0,,14.6,9.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/10/2015,20,,,10.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/10/2015,0,,,12.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
